VIAL,TREATMENT,POPULATION,K1,K2,K3,K4,K5,K6,K7,GROUP,CONTINENT
1,T,EU1,0,0,0,0,0,0,0,2,EUROPE
2,T,AS2,0,0,0,1,0,0,0,2,ASIA
3,T,EU1,0,0,1,0,0,0,0,1,EUROPE
4,T,AM2,0,0,0,0,1,0,0,1,AMERICA
5,T,AF1,0,0,0,0,1,0,0,1,AFRICA
6,T,EU1,0,0,0,0,0,0,0,1,EUROPE
7,T,AS1,0,0,0,0,0,0,0,1,ASIA
8,T,AS2,0,0,0,0,0,1,0,1,ASIA
9,T,AS2,0,0,0,0,0,0,0,1,ASIA
10,T,AF1,0,0,0,0,0,0,0,1,AFRICA
11,C,AS2,0,0,0,0,0,0,1,1,ASIA
12,T,AF1,0,0,0,0,0,0,0,1,AFRICA
13,T,AM1,0,0,0,0,0,0,0,1,AMERICA
14,T,AM2,0,0,0,1,0,0,0,1,AMERICA
15,T,AS2,0,0,0,0,0,0,0,1,ASIA
16,T,EU2,0,0,0,0,1,0,0,1,EUROPE
17,T,AM2,0,0,0,0,0,0,0,1,AMERICA
18,C,EU1,0,0,0,0,0,0,0,1,EUROPE
19,T,EU1,0,0,0,0,0,0,1,1,EUROPE
20,T,AF1,0,0,0,0,0,0,0,1,AFRICA
21,C,AM2,0,0,0,0,0,0,0,1,AMERICA
22,C,EU2,0,0,0,0,0,1,0,1,EUROPE
23,T,EU2,0,0,0,0,0,0,0,1,EUROPE
24,T,EU1,0,0,0,0,0,0,0,1,EUROPE
25,C,AF2,0,0,0,0,0,0,0,1,AFRICA
26,C,AS2,0,0,0,0,0,1,0,1,ASIA
27,T,AS2,0,0,0,0,0,0,0,1,ASIA
28,T,AF2,0,0,0,0,0,0,0,1,AFRICA
29,T,AS1,0,0,0,0,0,0,0,1,ASIA
30,T,AF1,0,0,0,0,0,0,0,1,AFRICA
31,C,AF2,0,0,0,0,0,0,0,1,AFRICA
32,T,AM1,0,0,0,0,0,0,0,1,AMERICA
33,C,AS2,0,0,0,0,0,0,0,1,ASIA
