VIAL,START,D1,E1,D2,E2,D3,E3,D4,E4,D5,E5,D6,E6,D7
1,14,2,0,0,0,3,0,9,0,0,0,0,0,0
2,15,0,0,0,0,0,0,0,15,0,0,0,0,0
3,15,0,0,5,0,0,10,0,0,0,0,0,0,0
4,15,3,0,3,0,4,0,3,0,0,2,0,0,0
5,15,1,0,3,0,6,0,2,0,0,3,0,0,0
6,14,0,0,1,0,12,0,1,0,0,0,0,0,0
7,15,3,0,1,0,0,0,7,0,1,0,1,0,0
8,15,3,0,1,1,3,0,1,0,3,0,0,3,0
9,15,0,0,0,0,3,0,2,0,8,0,2,0,0
10,15,5,0,0,0,1,0,5,0,4,0,0,0,0
11,15,3,0,0,0,0,0,0,0,0,0,1,0,0
12,15,4,0,1,0,4,0,5,0,1,0,0,0,0
13,15,1,0,1,0,3,0,7,0,3,0,0,0,0
14,15,1,0,0,0,1,0,0,13,0,0,0,0,0
15,15,1,0,2,0,3,0,3,0,6,0,0,0,0
16,15,0,0,0,0,0,0,0,0,0,15,0,0,0
17,15,0,0,0,0,4,0,4,0,7,0,0,0,0
18,15,5,0,0,1,2,0,4,0,0,0,0,0,3
19,15,0,0,0,0,3,0,5,0,4,0,2,0,0
20,15,3,0,0,0,5,0,3,0,4,0,0,0,0
21,15,0,0,0,0,0,0,0,0,0,0,2,0,2
22,15,1,0,0,0,0,0,1,0,0,0,0,13,0
23,14,0,1,0,0,6,0,4,1,2,0,0,0,0
24,15,2,2,0,0,7,0,2,0,1,0,0,0,0
25,15,3,1,0,0,1,0,1,0,4,0,0,0,0
26,15,2,0,0,0,1,0,0,1,0,0,0,11,0
27,15,0,0,0,0,8,0,5,0,2,0,0,0,0
28,15,2,0,2,0,11,0,0,0,0,0,0,0,0
29,15,0,0,1,0,5,0,7,0,2,0,0,0,0
30,15,10,0,0,0,1,0,1,0,3,0,0,0,0
31,15,2,1,1,0,0,0,1,0,0,0,0,0,0
32,15,1,0,0,0,1,0,2,0,3,0,3,0,1
33,15,3,0,1,0,0,1,0,0,1,0,1,0,0
34,15,0,0,0,0,1,0,6,0,4,1,2,0,0
35,15,2,0,0,0,1,0,5,1,4,0,2,0,0
36,15,6,0,0,1,0,1,0,0,1,0,0,0,0
37,15,6,0,0,0,1,0,0,0,0,0,0,8,0
38,15,5,0,0,0,0,0,0,0,0,0,0,10,0
39,15,2,0,0,1,1,0,0,1,2,0,0,0,0
40,16,2,0,1,0,6,0,7,0,0,0,0,0,0
41,15,1,0,0,0,0,0,0,0,1,0,0,0,0
42,15,1,0,2,0,0,0,0,0,0,12,0,0,0
43,15,0,0,0,15,0,0,0,0,0,0,0,0,0
44,15,2,0,0,0,0,0,0,0,0,0,0,13,0
45,15,0,0,0,0,0,0,1,0,0,0,0,0,0
46,15,0,0,0,0,0,0,6,0,7,1,0,1,0
47,14,1,0,1,0,4,0,3,0,3,0,1,0,0
48,15,0,0,0,1,3,0,6,0,5,0,0,0,0
49,15,0,0,0,0,0,1,0,14,0,0,0,0,0
50,15,0,0,2,0,5,0,6,0,2,0,0,0,0
51,15,3,0,1,0,8,0,2,0,1,0,0,0,0
52,15,0,0,0,0,3,0,1,0,11,0,0,0,0
53,15,2,0,1,0,8,0,4,0,0,0,0,0,0
54,15,2,0,2,0,8,0,2,0,0,0,1,0,0
55,15,1,0,1,0,5,1,5,0,1,0,0,1,0
56,15,1,0,2,0,4,0,0,8,0,0,0,0,0
57,15,2,0,1,0,3,0,5,0,4,0,0,0,0
58,15,5,1,0,0,1,0,1,0,6,0,0,0,0
59,15,1,0,1,0,0,13,0,0,0,0,0,0,0
60,15,0,0,0,0,2,0,5,0,0,8,0,0,0
61,15,1,0,0,14,0,0,0,0,0,0,0,0,0
62,15,3,0,0,1,0,0,2,0,9,0,0,0,0
63,15,1,0,0,0,4,0,5,0,3,0,1,0,0
64,15,1,0,0,0,3,0,5,0,3,0,3,0,0
65,15,2,0,0,0,0,0,5,0,2,0,2,0,3
66,15,0,0,0,0,1,0,4,1,3,0,1,1,2
67,15,4,0,0,0,6,0,5,0,0,0,0,0,0
68,15,3,0,0,0,3,0,1,0,5,0,0,3,0
69,15,3,0,2,0,5,0,4,0,0,1,0,0,0
70,15,0,0,1,0,4,0,7,0,3,0,0,0,0
71,15,0,0,1,0,0,0,0,14,0,0,0,0,0
72,15,1,0,0,0,5,0,0,9,0,0,0,0,0
73,15,2,0,1,0,9,0,1,0,2,0,0,0,0
74,15,0,0,1,0,6,0,7,0,1,0,0,0,0
75,15,1,0,0,0,2,0,11,0,0,0,1,0,0
76,13,2,0,0,0,3,0,3,0,5,0,0,0,0
77,15,1,0,0,0,0,14,0,0,0,0,0,0,0
78,15,2,0,0,0,7,0,5,0,1,0,0,0,0
79,14,1,0,0,0,0,0,0,0,6,0,0,0,0
80,15,0,0,0,0,9,0,0,6,0,0,0,0,0
81,14,2,0,3,0,4,1,2,0,0,2,0,0,0
82,15,4,0,2,0,4,0,5,0,0,0,0,0,0
83,15,2,0,3,0,8,0,0,0,0,2,0,0,0
84,15,1,0,0,0,4,0,4,0,6,0,0,0,0
85,14,1,0,0,0,0,0,0,0,2,0,2,0,1
86,15,0,0,1,0,3,0,5,0,6,0,0,0,0
87,15,4,0,0,0,1,0,9,0,1,0,0,0,0
88,15,2,0,0,0,1,1,0,0,11,0,0,0,0
89,16,4,0,1,0,9,0,2,0,0,0,0,0,0
90,15,1,0,1,0,2,0,0,0,3,0,0,0,0
91,15,1,0,0,0,4,0,3,0,6,0,1,0,0
92,15,3,0,0,0,1,0,0,0,2,1,0,0,1
93,17,4,0,0,0,3,0,5,0,3,0,2,0,0
94,15,1,0,1,0,5,0,4,0,4,0,0,0,0
95,15,0,0,0,0,0,0,2,0,2,0,0,0,3
96,15,0,0,1,0,2,0,5,0,5,0,0,0,0
97,15,4,0,0,0,3,0,4,0,4,0,0,0,0
98,15,4,0,0,0,3,0,0,8,0,0,0,0,0
99,15,0,0,0,0,1,0,0,0,4,0,0,1,0
100,15,7,1,1,0,1,0,0,0,4,0,0,1,0
101,15,0,1,1,0,7,0,4,0,2,0,0,0,0
102,15,1,0,0,0,0,0,3,0,1,0,0,10,0
