VIAL,TREATMENT,POPULATION,GROUP,CONTINENT
163,T,AF1,2,AFRICA
234,T,AF1,2,AFRICA
40,T,AF1,1,AFRICA
12,T,AF1,1,AFRICA
130,T,AF1,1,AFRICA
189,T,AF1,2,AFRICA
136,T,AF1,1,AFRICA
164,T,AF1,2,AFRICA
66,T,AF1,1,AFRICA
176,T,AF1,2,AFRICA
229,T,AF1,2,AFRICA
10,T,AF1,1,AFRICA
206,T,AF1,2,AFRICA
20,T,AF1,1,AFRICA
257,T,AF1,2,AFRICA
246,C,AF1,2,AFRICA
195,C,AF1,2,AFRICA
146,C,AF1,2,AFRICA
92,C,AF1,1,AFRICA
135,C,AF1,1,AFRICA
231,C,AF1,2,AFRICA
169,C,AF1,2,AFRICA
267,T,AF2,2,AFRICA
186,T,AF2,2,AFRICA
238,T,AF2,2,AFRICA
223,T,AF2,2,AFRICA
226,T,AF2,2,AFRICA
76,T,AF2,1,AFRICA
248,T,AF2,2,AFRICA
104,T,AF2,1,AFRICA
160,T,AF2,2,AFRICA
235,T,AF2,2,AFRICA
87,T,AF2,1,AFRICA
268,T,AF2,2,AFRICA
34,T,AF2,1,AFRICA
78,T,AF2,1,AFRICA
94,T,AF2,1,AFRICA
210,T,AF2,2,AFRICA
157,C,AF2,2,AFRICA
188,C,AF2,2,AFRICA
31,C,AF2,1,AFRICA
25,C,AF2,1,AFRICA
179,C,AF2,2,AFRICA
218,C,AF2,2,AFRICA
13,T,AM1,1,AMERICA
62,T,AM1,1,AMERICA
32,T,AM1,1,AMERICA
118,T,AM1,1,AMERICA
173,T,AM1,2,AMERICA
65,T,AM1,1,AMERICA
91,T,AM1,1,AMERICA
262,T,AM1,2,AMERICA
263,T,AM1,2,AMERICA
90,T,AM1,1,AMERICA
193,T,AM1,2,AMERICA
166,T,AM1,2,AMERICA
93,T,AM1,1,AMERICA
232,T,AM1,2,AMERICA
222,T,AM1,2,AMERICA
243,T,AM1,2,AMERICA
126,T,AM1,1,AMERICA
144,T,AM1,2,AMERICA
125,T,AM1,1,AMERICA
86,T,AM1,1,AMERICA
194,C,AM1,2,AMERICA
45,C,AM1,1,AMERICA
156,C,AM1,2,AMERICA
140,C,AM1,2,AMERICA
265,C,AM1,2,AMERICA
134,C,AM1,1,AMERICA
36,C,AM1,1,AMERICA
52,T,AM2,1,AMERICA
148,T,AM2,2,AMERICA
201,T,AM2,2,AMERICA
