VIAL,START,D1,E1,D2,E2,D3,E3,D4,E4,D5,E5,D6,E6,D7,E7
1,15,5,0,1,0,2,0,0,0,1,0,0,0,0,0
2,15,8,0,0,0,0,0,0,0,3,0,0,0,0,0
3,15,11,0,0,0,1,0,0,0,0,0,0,0,2,0
4,13,3,0,1,0,1,1,3,0,1,0,0,0,1,0
5,14,5,0,0,0,0,0,2,0,0,0,0,0,1,0
6,15,2,0,1,1,0,0,0,0,1,0,1,0,0,0
7,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0
8,14,6,0,0,0,0,0,0,1,0,0,0,0,0,0
9,15,5,0,1,0,0,1,0,0,1,2,0,0,0,0
10,15,2,1,0,0,0,0,0,1,2,0,1,0,0,0
11,15,9,0,0,0,2,0,0,0,1,0,0,0,3,0
12,14,1,0,0,0,0,0,3,0,2,0,1,0,3,0
13,15,3,0,0,0,0,0,0,0,0,0,0,0,1,0
14,13,2,0,1,0,1,1,1,0,3,0,3,0,1,0
15,14,3,0,1,0,0,0,0,0,0,1,0,0,0,0
16,15,2,0,1,0,0,0,3,0,2,0,0,0,3,0
17,15,0,0,0,0,0,0,2,0,0,0,1,0,0,0
18,15,2,0,0,0,0,0,0,0,0,0,1,0,2,0
19,12,7,0,1,0,0,0,1,0,0,0,0,0,1,0
20,15,3,0,1,0,0,0,1,0,0,0,0,0,0,0
21,13,2,0,0,1,0,0,0,0,5,0,0,0,5,0
22,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,15,5,0,0,0,0,0,0,0,3,0,1,0,1,0
24,14,2,0,0,1,3,0,1,0,0,0,0,0,1,0
25,15,5,0,1,0,0,0,0,0,0,1,0,0,0,0
26,15,3,0,0,1,0,0,2,0,2,0,3,0,2,0
27,14,6,0,0,0,0,0,1,0,1,0,1,0,2,0
28,13,1,0,1,0,0,0,0,0,1,1,0,0,0,0
29,15,2,0,0,0,0,0,2,0,0,0,0,0,0,0
30,15,2,0,2,4,0,0,0,0,0,0,2,0,1,0
31,15,2,0,0,0,0,0,0,0,2,0,0,0,5,0
32,13,10,0,0,2,0,0,0,0,0,0,1,0,0,0
33,15,3,0,0,0,0,0,1,0,2,1,2,0,3,0
34,15,6,0,0,0,2,0,1,0,1,0,2,0,1,0
35,14,4,0,0,0,2,0,2,0,1,0,0,0,1,0
36,14,2,0,1,0,1,1,0,1,0,0,0,0,0,0
37,15,3,0,2,0,1,0,2,1,1,0,0,0,0,0
38,14,2,0,0,0,0,0,0,0,1,0,1,0,0,0
39,14,6,0,0,0,2,0,1,0,2,0,0,0,0,0
40,15,1,0,0,1,1,1,0,0,1,0,0,0,0,0
41,15,2,0,0,0,0,1,0,0,0,0,0,0,2,0
42,11,3,0,0,0,0,0,1,0,3,0,0,0,0,0
43,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0
44,12,5,0,0,0,0,0,0,0,0,0,0,0,1,0
45,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0
46,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0
47,13,4,0,0,0,0,0,2,0,1,0,1,0,0,0
48,13,2,0,0,0,0,0,3,0,4,0,1,0,1,0
49,11,5,0,0,0,1,0,0,0,0,0,4,0,0,0
50,14,2,0,0,0,0,1,0,1,2,0,0,0,0,0
51,15,5,0,0,0,1,0,0,0,0,0,0,0,0,0
52,15,6,0,0,1,2,0,0,0,0,0,0,0,0,0
