VIAL,POPULATION,CONTINENT,TREATMENT,K1,K2,K5,K6,K7
1,AS2,ASIA,T,0,0,0,1,0
2,AS1,ASIA,T,0,0,0,1,0
3,EU1,EUROPE,T,0,0,0,0,0
4,EU2,EUROPE,T,0,0,0,0,0
5,EU2,EUROPE,T,0,0,0,0,0
6,AS1,ASIA,C,0,0,0,0,0
7,AM2,AMERICA,C,0,1,0,0,0
8,EU1,EUROPE,T,0,0,0,0,0
9,AS1,ASIA,C,0,0,0,0,0
10,AM2,AMERICA,T,0,0,0,0,0
11,AS1,ASIA,T,0,0,0,0,0
12,AM1,AMERICA,T,0,0,0,0,0
13,AM1,AMERICA,C,0,0,0,0,0
14,EU2,EUROPE,T,0,0,0,0,0
15,EU1,EUROPE,C,0,0,0,0,0
16,AF1,AFRICA,T,0,0,0,0,0
17,EU1,EUROPE,T,0,0,0,0,0
18,AM1,AMERICA,C,0,0,0,0,0
19,AS1,ASIA,T,0,0,0,0,0
20,AS2,ASIA,C,0,0,0,0,0
21,EU1,EUROPE,T,0,0,0,0,0
22,AF1,AFRICA,T,1,0,0,0,0
23,AS1,ASIA,T,0,0,0,0,0
24,AS2,ASIA,T,0,0,0,0,0
25,AF1,AFRICA,C,0,0,0,0,0
26,EU2,EUROPE,T,0,0,0,0,0
27,AS1,ASIA,T,0,0,0,0,0
28,AM2,AMERICA,C,0,0,0,0,0
29,AM1,AMERICA,T,0,0,0,0,0
30,AM2,AMERICA,T,0,0,0,0,0
31,AM2,AMERICA,T,0,0,0,0,0
32,AS1,ASIA,C,0,0,0,0,0
33,EU2,EUROPE,T,0,0,0,0,0
34,AF1,AFRICA,T,0,0,0,0,0
35,AF2,AFRICA,T,0,0,0,0,0
36,AM1,AMERICA,C,0,0,0,0,0
37,AM2,AMERICA,T,0,0,0,0,0
38,EU1,EUROPE,T,0,0,0,0,0
39,AF1,AFRICA,T,0,0,0,0,0
40,AF1,AFRICA,T,0,0,0,0,0
41,AS2,ASIA,C,0,0,0,0,0
42,AM2,AMERICA,C,0,0,0,0,0
43,AM2,AMERICA,C,0,0,0,0,0
44,EU1,EUROPE,C,0,0,0,0,0
45,AM1,AMERICA,C,0,0,0,0,0
46,EU1,EUROPE,C,0,0,0,0,0
47,AM2,AMERICA,T,0,0,0,0,0
48,AS1,ASIA,T,0,0,0,0,0
49,AF1,AFRICA,T,0,0,0,0,0
50,EU2,EUROPE,C,0,0,0,0,0
51,AF1,AFRICA,C,0,0,0,0,0
52,AS2,ASIA,C,0,0,0,0,0
53,AF2,AFRICA,C,0,0,0,0,0
54,AF2,AFRICA,T,0,0,0,0,0
55,AM1,AMERICA,C,0,0,0,0,0
56,AF2,AFRICA,C,0,0,0,0,0
57,AM2,AMERICA,C,0,0,0,0,0
58,AF2,AFRICA,T,0,0,0,0,0
59,AM1,AMERICA,T,0,0,0,0,0
60,AS1,ASIA,T,0,0,0,0,0
61,EU2,EUROPE,C,0,0,0,0,0
62,AF1,AFRICA,T,0,0,0,0,0
63,AF1,AFRICA,T,0,0,0,0,0
