VIAL,POPULATION,CONTINENT,TREATMENT
1,AS2,ASIA,T
2,AS1,ASIA,T
3,EU1,EUROPE,T
4,EU2,EUROPE,T
5,EU2,EUROPE,T
6,AS1,ASIA,C
7,AM2,AMERICA,C
8,EU1,EUROPE,T
9,AS1,ASIA,C
10,AM2,AMERICA,T
11,AS1,ASIA,T
12,AM1,AMERICA,T
13,AM1,AMERICA,C
14,EU2,EUROPE,T
15,EU1,EUROPE,C
16,AF1,AFRICA,T
17,EU1,EUROPE,T
18,AM1,AMERICA,C
19,AS1,ASIA,T
20,AS2,ASIA,C
21,EU1,EUROPE,T
22,AF1,AFRICA,T
23,AS1,ASIA,T
24,AS2,ASIA,T
25,AF1,AFRICA,C
26,EU2,EUROPE,T
27,AS1,ASIA,T
28,AM2,AMERICA,C
29,AM1,AMERICA,T
30,AM2,AMERICA,T
31,AM2,AMERICA,T
32,AS1,ASIA,C
33,EU2,EUROPE,T
34,AF1,AFRICA,T
35,AF2,AFRICA,T
36,AM1,AMERICA,C
37,AM2,AMERICA,T
38,EU1,EUROPE,T
39,AF1,AFRICA,T
40,AF1,AFRICA,T
41,AS2,ASIA,C
42,AM2,AMERICA,C
43,AM2,AMERICA,C
44,EU1,EUROPE,C
45,AM1,AMERICA,C
46,EU1,EUROPE,C
47,AM2,AMERICA,T
48,AS1,ASIA,T
49,AF1,AFRICA,T
50,EU2,EUROPE,C
51,AF1,AFRICA,C
52,AS2,ASIA,C
53,AF2,AFRICA,C
54,AF2,AFRICA,T
55,AM1,AMERICA,C
56,AF2,AFRICA,C
57,AM2,AMERICA,C
58,AF2,AFRICA,T
59,AM1,AMERICA,T
60,AS1,ASIA,T
61,EU2,EUROPE,C
62,AF1,AFRICA,T
63,AF1,AFRICA,T
64,AF2,AFRICA,T
65,AS2,ASIA,T
66,AM1,AMERICA,T
67,AM2,AMERICA,C
68,AS2,ASIA,C
69,EU1,EUROPE,C
70,EU1,EUROPE,C
71,AS2,ASIA,T
72,EU2,EUROPE,T
73,EU2,EUROPE,C
74,AS1,ASIA,T
75,AF2,AFRICA,C
76,AF1,AFRICA,C
77,AF2,AFRICA,C
78,AM2,AMERICA,T
79,AS2,ASIA,T
80,AS2,ASIA,C
81,AM1,AMERICA,T
82,AM2,AMERICA,T
83,AF2,AFRICA,T
84,EU2,EUROPE,T
85,AM2,AMERICA,T
86,EU2,EUROPE,T
87,AS2,ASIA,T
88,AM1,AMERICA,T
89,AF1,AFRICA,T
90,EU1,EUROPE,T
91,AM2,AMERICA,T
92,AF2,AFRICA,T
93,AM2,AMERICA,T
94,EU1,EUROPE,C
95,AS1,ASIA,T
96,AM2,AMERICA,T
97,AS2,ASIA,T
98,EU1,EUROPE,T
99,AM2,AMERICA,T
100,AS2,ASIA,T
101,EU2,EUROPE,T
102,AF1,AFRICA,T
103,AM1,AMERICA,C
104,AS2,ASIA,T
105,AS1,ASIA,T
106,AM1,AMERICA,T
107,AM1,AMERICA,T
108,AF2,AFRICA,T
109,AF1,AFRICA,T
110,EU2,EUROPE,C
111,AM2,AMERICA,C
112,AF2,AFRICA,T
113,EU1,EUROPE,T
114,AF1,AFRICA,T
115,AS1,ASIA,C
116,EU2,EUROPE,T
117,AF1,AFRICA,C
118,AS2,ASIA,C
119,EU1,EUROPE,T
120,EU1,EUROPE,C
121,AM2,AMERICA,T
122,AS2,ASIA,C
123,AF1,AFRICA,T
124,AM1,AMERICA,T
125,EU2,EUROPE,T
126,EU2,EUROPE,T
127,AM1,AMERICA,T
128,AF2,AFRICA,T
129,AS1,ASIA,T
130,AM2,AMERICA,T
131,AS1,ASIA,T
132,AS2,ASIA,T
133,AS1,ASIA,T
134,AF2,AFRICA,T
135,EU2,EUROPE,T
136,AM1,AMERICA,T
137,EU2,EUROPE,T
138,AS1,ASIA,C
139,EU1,EUROPE,C
140,AF2,AFRICA,T
141,AF2,AFRICA,T
142,AS1,ASIA,T
143,EU1,EUROPE,T
144,EU1,EUROPE,T
145,AM1,AMERICA,C
146,AS2,ASIA,T
147,EU2,EUROPE,T
148,AS1,ASIA,T
149,EU2,EUROPE,C
150,AF2,AFRICA,C
151,AF2,AFRICA,T
152,AF2,AFRICA,C
153,AS2,ASIA,T
154,AF1,AFRICA,T
155,AM2,AMERICA,T
156,AF1,AFRICA,T
157,AF1,AFRICA,T
158,AF1,AFRICA,T
159,EU2,EUROPE,T
160,AF2,AFRICA,C
161,AS1,ASIA,T
162,AS2,ASIA,C
163,AF1,AFRICA,C
164,AS1,ASIA,T
165,AS2,ASIA,T
166,AM2,AMERICA,C
167,EU1,EUROPE,T
168,EU1,EUROPE,T
169,AF2,AFRICA,T
170,AS1,ASIA,T
171,AF2,AFRICA,C
172,AF2,AFRICA,C
173,AM2,AMERICA,C
174,AM1,AMERICA,T
175,AM1,AMERICA,T
176,EU2,EUROPE,T
177,EU2,EUROPE,C
178,EU2,EUROPE,T
179,AS1,ASIA,T
180,AM1,AMERICA,C
181,AF1,AFRICA,C
182,AM1,AMERICA,C
183,AM1,AMERICA,T
184,AF2,AFRICA,T
185,AM1,AMERICA,T
186,AS1,ASIA,C
187,AS1,ASIA,T
188,EU2,EUROPE,C
189,AS2,ASIA,T
190,AF1,AFRICA,T
191,AM2,AMERICA,T
192,AS1,ASIA,T
193,AM2,AMERICA,T
194,AS2,ASIA,T
195,AS1,ASIA,T
196,AS1,ASIA,C
197,AF2,AFRICA,T
198,AF2,AFRICA,C
199,EU2,EUROPE,T
200,AS2,ASIA,T
201,AS1,ASIA,T
202,EU1,EUROPE,T
203,AF1,AFRICA,T
204,EU2,EUROPE,T
205,AM2,AMERICA,T
206,AS1,ASIA,C
207,EU2,EUROPE,C
208,AS1,ASIA,T
209,AS2,ASIA,T
210,EU2,EUROPE,C
