FLY,VIAL,TIME,CENSUS,POPULATION,CONTINENT,TREATMENT
1,1,3,1,AS2,ASIA,T
2,1,3,1,AS2,ASIA,T
3,1,3,1,AS2,ASIA,T
4,1,3,1,AS2,ASIA,T
5,1,3,1,AS2,ASIA,T
6,1,6,1,AS2,ASIA,T
7,1,9,1,AS2,ASIA,T
8,1,9,1,AS2,ASIA,T
9,1,15,1,AS2,ASIA,T
10,1,18,0,AS2,ASIA,T
11,1,18,0,AS2,ASIA,T
12,1,18,0,AS2,ASIA,T
13,1,18,0,AS2,ASIA,T
14,1,18,0,AS2,ASIA,T
15,1,18,0,AS2,ASIA,T
16,2,3,1,AS1,ASIA,T
17,2,3,1,AS1,ASIA,T
18,2,3,1,AS1,ASIA,T
19,2,3,1,AS1,ASIA,T
20,2,3,1,AS1,ASIA,T
21,2,3,1,AS1,ASIA,T
22,2,3,1,AS1,ASIA,T
23,2,3,1,AS1,ASIA,T
24,2,15,1,AS1,ASIA,T
25,2,15,1,AS1,ASIA,T
26,2,15,1,AS1,ASIA,T
27,2,18,0,AS1,ASIA,T
28,2,18,0,AS1,ASIA,T
29,2,18,0,AS1,ASIA,T
30,2,18,0,AS1,ASIA,T
31,3,3,1,EU1,EUROPE,T
32,3,3,1,EU1,EUROPE,T
33,3,3,1,EU1,EUROPE,T
34,3,3,1,EU1,EUROPE,T
35,3,3,1,EU1,EUROPE,T
36,3,3,1,EU1,EUROPE,T
37,3,3,1,EU1,EUROPE,T
38,3,3,1,EU1,EUROPE,T
39,3,3,1,EU1,EUROPE,T
40,3,3,1,EU1,EUROPE,T
41,3,3,1,EU1,EUROPE,T
42,3,9,1,EU1,EUROPE,T
43,3,21,1,EU1,EUROPE,T
44,3,21,1,EU1,EUROPE,T
45,3,21,0,EU1,EUROPE,T
46,4,3,1,EU2,EUROPE,T
47,4,3,1,EU2,EUROPE,T
48,4,3,1,EU2,EUROPE,T
49,4,6,1,EU2,EUROPE,T
50,4,9,1,EU2,EUROPE,T
51,4,9,0,EU2,EUROPE,T
52,4,12,1,EU2,EUROPE,T
53,4,12,1,EU2,EUROPE,T
54,4,12,1,EU2,EUROPE,T
55,4,15,1,EU2,EUROPE,T
56,4,21,1,EU2,EUROPE,T
57,4,21,0,EU2,EUROPE,T
58,4,21,0,EU2,EUROPE,T
59,5,3,1,EU2,EUROPE,T
60,5,3,1,EU2,EUROPE,T
61,5,3,1,EU2,EUROPE,T
62,5,3,1,EU2,EUROPE,T
63,5,3,1,EU2,EUROPE,T
64,5,12,1,EU2,EUROPE,T
65,5,12,1,EU2,EUROPE,T
66,5,21,1,EU2,EUROPE,T
67,5,21,0,EU2,EUROPE,T
